DESTINATION         DEPARTURE TIME      FLIGHT DURATION     ECONOMY CLASS       FIRST CLASS
MONACO              1131                250                 101                 15
DOHA                1233                1146                102                 9
BERLIN              595                 867                 101                 7
MELBOURNE           794                 730                 109                 7
BASEL               319                 780                 101                 11
VALENCIA            49                  139                 142                 13
PERTH               751                 218                 134                 5
DORTMUND            612                 369                 108                 8
VALENCIA            365                 278                 138                 6
SAMOS               216                 599                 145                 9
GLASGOW             909                 457                 96                  15
NEWCASTLE           608                 385                 107                 12
ALEXANDRIA          1155                752                 141                 14
PERTH               466                 463                 96                  6
BIRMINGHAM          548                 447                 133                 11
BOLOGNA             461                 514                 99                  11
CHANIA              324                 1013                142                 6
CORFU               383                 334                 106                 10
LAGOS               619                 462                 131                 13
PHOENIX             312                 654                 125                 13
LILLE               467                 809                 125                 5
MILAN               700                 731                 101                 11
ALEXANDROUPOLI      1099                846                 138                 15
ZANTE               1417                867                 105                 13
LONDON              666                 381                 124                 5
MONACO              78                  1082                131                 14
SYDNEY              588                 1071                100                 15
ALEXANDRIA          1173                474                 106                 12
KAVALA              466                 941                 141                 11
ALEXANDROUPOLI      309                 535                 119                 12
MUNICH              1182                1174                119                 6
MONACO              1318                947                 120                 6
LISBON              422                 1106                114                 10
TORONTO             854                 1185                124                 7
WASHIGTON           590                 993                 110                 13
MILAN               69                  722                 135                 14
RECIFE              1171                755                 142                 14
TORONTO             1389                1182                135                 12
ZANTE               200                 215                 142                 7
KIEV                352                 1166                130                 9
HERAKLION           173                 72                  107                 15
BRISTOL             2                   286                 110                 15
BILBAO              626                 1162                134                 12
JERUSALEM           802                 608                 116                 14
LUXEMBURG           246                 704                 137                 6
DORTMUND            567                 455                 135                 15
BIRMINGHAM          263                 529                 143                 11
MELBOURNE           449                 357                 127                 6
BARCELONA           1393                69                  101                 11
PATRAS              97                  885                 103                 9
MALAGA              1303                314                 118                 6
LIVERPOOL           726                 1089                138                 8
SYDNEY              142                 214                 112                 11
MANCHESTER          1016                947                 119                 14
ALEXANDRIA          1137                284                 105                 12
PRAGUE              967                 336                 140                 11
ZANTE               1221                545                 111                 9
CANBERRA            1235                569                 131                 9
VOLOS               1029                488                 137                 8
JOHANNESBURG        1419                1107                102                 12
LAGOS               724                 493                 118                 15
MANCHESTER          275                 908                 107                 13
ATLANTA             942                 309                 142                 15
LARNACA             466                 243                 95                  12
BERN                1203                388                 99                  5
LYON                196                 1048                141                 9
RECIFE              1355                728                 109                 14
ROME                1431                244                 130                 7
IOANNINA            763                 806                 140                 7
LONDON              1325                615                 143                 5
LEMNOS              1                   931                 97                  6
DUBLIN              189                 366                 108                 9
THESSALONIKI        712                 962                 134                 15
RABAT               1195                101                 128                 10
VALENCIA            117                 1125                135                 15
BREMEN              413                 968                 125                 7
CARACAS             1382                317                 137                 10
LEMNOS              1247                922                 107                 15
CANBERRA            697                 204                 145                 13
AMSTERDAM           1090                989                 102                 10
THESSALONIKI        32                  71                  101                 7
SEVILLE             1201                449                 122                 13
KEFALONIA           1191                469                 122                 15
ICARIA              1351                607                 126                 12
PHOENIX             925                 121                 139                 9
RABAT               1408                125                 108                 15
LISBON              935                 762                 103                 12
LUXEMBURG           472                 401                 131                 12
WARSAW              1351                580                 96                  12
OSLO                98                  389                 130                 13
LISBON              356                 436                 103                 14
NAPOLI              1342                1140                118                 7
LARNACA             242                 1013                114                 5
HAVANA              664                 103                 95                  10
CARACAS             459                 286                 139                 11
BOSTON              483                 1144                98                  12
BANGKOK             900                 376                 99                  13
AMSTERDAM           915                 275                 140                 7
MONTEVIDEO          19                  728                 137                 8
VALENCIA            763                 555                 97                  9
SARAJEVO            344                 631                 106                 10
BANGKOK             1202                909                 95                  9
NEWCASTLE           89                  1009                124                 14
OSLO                166                 325                 125                 10
KAVALA              1194                1176                111                 6
NICOSIA             397                 984                 102                 14
GENOA               988                 318                 134                 9
MONTEVIDEO          719                 566                 104                 13
BELIGRADE           947                 470                 136                 8
MONTEVIDEO          1097                676                 126                 5
PERTH               178                 827                 97                  12
JOHANNESBURG        1395                674                 120                 6
ALEXANDROUPOLI      181                 786                 115                 5
BOLOGNA             370                 377                 138                 10
MILAN               1285                1143                116                 12
ANKARA              61                  1194                143                 9
LARNACA             1074                485                 97                  14
INSTABUL            462                 593                 131                 6
KAVALA              1201                339                 121                 12
KALAMATA            873                 454                 114                 12
BRUSSELS            1159                857                 108                 13
SYDNEY              817                 317                 113                 8
LYON                784                 819                 144                 12
NAPOLI              135                 785                 122                 8
PRAGUE              612                 909                 145                 9
INSTABUL            559                 413                 139                 5
NAPOLI              1145                1077                136                 13
BARCELONA           20                  981                 145                 6
MARSEILLE           665                 895                 107                 7
MELBOURNE           1211                244                 124                 8
PERTH               615                 130                 139                 14
KEFALONIA           105                 257                 99                  6
ATLANTA             180                 380                 135                 14
LAGOS               15                  159                 96                  5
MANCHESTER          161                 398                 119                 15
ALEXANDROUPOLI      434                 1123                112                 9
NICOSIA             1148                1075                118                 12
TORONTO             733                 208                 119                 7
FRANKFURT           626                 674                 128                 12
MARSEILLE           1433                888                 131                 14
OSLO                494                 977                 143                 15
VALENCIA            1068                321                 117                 15
SAMOS               283                 342                 141                 6
RABAT               582                 877                 136                 8
NICE                1047                1174                117                 14
ROME                664                 697                 126                 8
OTTAWA              456                 226                 97                  12
STOCKHOLM           685                 502                 112                 7
MALTA               428                 601                 133                 11
LARNACA             577                 659                 120                 5
STOCKHOLM           1428                680                 99                  5
HAMBURG             1099                216                 132                 13
SAMOS               69                  714                 119                 11
BRISTOL             1351                1138                138                 10
PERTH               1400                973                 130                 13
KEFALONIA           822                 711                 127                 12
LEEDS               304                 648                 145                 9
AMSTERDAM           1388                378                 98                  8
ZAGREB              457                 284                 97                  6
HERAKLION           1162                990                 125                 8
BIRMINGHAM          484                 865                 104                 6
KEFALONIA           943                 817                 111                 15
SARAJEVO            309                 150                 123                 12
SYDNEY              1196                168                 118                 12
LISBON              133                 692                 114                 13
JERUSALEM           1227                171                 128                 5
BRUSSELS            463                 109                 106                 10
BIRMINGHAM          1424                1008                130                 13
RABAT               397                 1105                101                 7
FRANKFURT           1054                79                  113                 15
STOCKHOLM           1425                543                 141                 12
JOHANNESBURG        135                 879                 121                 6
BERLIN              634                 79                  100                 5
BRUSSELS            602                 231                 140                 13
NEWCASTLE           1222                463                 119                 15
LYON                559                 331                 102                 5
BOSTON              85                  407                 112                 9
LEIPZIG             34                  991                 130                 7
CHANIA              782                 235                 131                 9
JOHANNESBURG        1425                643                 130                 7
BOLOGNA             1371                812                 123                 15
KOS                 810                 707                 137                 8
MUNICH              435                 716                 98                  14
COPEGHAGEN          773                 409                 133                 9
STOCKHOLM           927                 863                 142                 11
PARIS               92                  64                  102                 5
ROME                422                 423                 112                 14
CORFU               869                 326                 131                 12
BELIGRADE           669                 1109                104                 7
BELIGRADE           1322                443                 108                 5
SEVILLE             987                 157                 120                 10
BOSTON              960                 940                 99                  12
ALEXANDRIA          558                 1197                128                 10
VALENCIA            1030                959                 121                 6
DOHA                220                 924                 140                 15
PERTH               1068                1092                138                 5
INSTABUL            187                 165                 134                 15
MONACO              155                 1114                144                 14
LILLE               306                 181                 106                 11
GENOA               1223                232                 143                 13
VOLOS               379                 781                 122                 13
MALTA               1074                1192                126                 5
NEWCASTLE           1103                1058                99                  8
BRISTOL             824                 918                 110                 13
TORONTO             1014                496                 130                 8
INSTABUL            420                 1097                125                 13
BRISTOL             352                 500                 99                  5
WARSAW              93                  933                 127                 14
BUCHAREST           1162                262                 124                 5
TORONTO             916                 366                 128                 8
BOLOGNA             896                 192                 96                  11
FLORENCE            217                 122                 102                 15
LILLE               753                 543                 99                  8
ZAGREB              241                 250                 128                 7
BRUSSELS            27                  257                 108                 7
RECIFE              877                 963                 119                 14
MOSCOW              474                 643                 99                  10
BREMEN              949                 1086                105                 15
INSTABUL            235                 233                 133                 7
OTTAWA              86                  1132                112                 10
KALAMATA            1160                1058                116                 5
ALEXANDROUPOLI      13                  1065                135                 14
SARAJEVO            673                 141                 117                 14
BERLIN              922                 966                 123                 12
DORTMUND            596                 278                 116                 14
CANBERRA            1313                1181                129                 11
GENOA               850                 1010                135                 7
BASEL               583                 936                 131                 11
BRISTOL             1061                947                 97                  5
OTTAWA              71                  301                 113                 14
RHODES              769                 1116                109                 5
SYDNEY              825                 574                 144                 13
MUNICH              784                 248                 131                 7
BANGKOK             893                 776                 104                 5
BASEL               1004                594                 100                 13
RHODES              244                 820                 125                 5
MARSEILLE           509                 1129                128                 9
STOCKHOLM           1174                258                 143                 6
PARIS               413                 206                 112                 10
ALEXANDROUPOLI      510                 1021                116                 11
DORTMUND            1090                970                 105                 10
BREMEN              362                 984                 139                 8
GUATEMALA           1145                307                 109                 11
BRISTOL             895                 885                 121                 12
DORTMUND            745                 143                 122                 7
CASABLANCA          628                 680                 138                 7
OSLO                339                 308                 119                 14
BERN                952                 832                 102                 9
CORFU               792                 407                 119                 13
PATRAS              1155                1061                134                 11
VIGO                729                 621                 100                 7
PERTH               270                 208                 124                 11
MELBOURNE           1302                795                 134                 7
BELIGRADE           971                 284                 110                 13
HERAKLION           1180                573                 110                 7
NAPOLI              351                 142                 109                 11
LARNACA             1439                510                 113                 8
IOANNINA            943                 1151                100                 6
MONACO              1325                258                 107                 7
BIRMINGHAM          588                 575                 97                  5
BRISTOL             252                 677                 96                  8
ANKARA              192                 399                 137                 10
ALEXANDROUPOLI      1186                585                 136                 13
ROME                297                 838                 100                 14
VALENCIA            483                 337                 99                  15
ICARIA              1256                598                 106                 12
WARSAW              920                 640                 113                 9
GENOA               936                 1194                115                 13
BOLOGNA             871                 171                 124                 8
LONDON              595                 525                 95                  9
NAPOLI              1374                1025                109                 11
BIRMINGHAM          666                 613                 142                 7
BRUSSELS            171                 322                 121                 14
THESSALONIKI        1035                643                 129                 9
VOLOS               977                 685                 109                 7
MANCHESTER          811                 628                 95                  10
IOANNINA            980                 797                 138                 11
COPEGHAGEN          308                 1136                100                 5
JERUSALEM           1185                405                 123                 9
PARIS               550                 1199                104                 6
BELIGRADE           217                 867                 140                 14
MUNICH              343                 403                 137                 14
BRUSSELS            585                 306                 99                  7
SEVILLE             1343                935                 145                 11
HAMBURG             139                 149                 142                 9
STOCKHOLM           514                 139                 143                 11
OTTAWA              509                 1185                111                 12
ROME                1248                470                 97                  7
BUCHAREST           1002                213                 143                 11
MELBOURNE           486                 116                 140                 6
HAMBURG             32                  401                 144                 13
SAMOS               297                 878                 101                 9
KEFALONIA           352                 628                 133                 10
GENOA               1358                185                 139                 12
CARACAS             25                  486                 145                 10
BRUSSELS            595                 851                 114                 14
PRAGUE              998                 73                  105                 14
OTTAWA              552                 127                 116                 7
GENOA               744                 317                 106                 10
WASHIGTON           939                 248                 144                 10
HAVANA              926                 1007                139                 8
BARCELONA           323                 304                 124                 9
CASABLANCA          1024                1108                105                 8
BERLIN              456                 879                 121                 9
PERTH               121                 394                 109                 13
BILBAO              1308                959                 135                 10
GLASGOW             548                 289                 140                 5
MYTILENE            1348                954                 132                 7
BILBAO              69                  109                 123                 7
PRAGUE              114                 1132                132                 5
PHOENIX             247                 735                 116                 8
BOLOGNA             1199                946                 95                  8
IOANNINA            800                 136                 102                 13
CAIRO               98                  297                 133                 5
PARIS               369                 1116                131                 12
PHOENIX             642                 197                 127                 12
SYDNEY              1160                946                 145                 14
LEIPZIG             1287                322                 118                 11
BIRMINGHAM          644                 1023                104                 14
LEIPZIG             306                 445                 139                 6
CORFU               612                 1021                103                 8
LISBON              876                 341                 130                 14
BUDAPEST            1196                409                 101                 12
NICE                454                 914                 100                 6
MALTA               304                 113                 116                 14
WASHIGTON           13                  597                 98                  14
PERTH               60                  509                 100                 14
NAPOLI              1285                664                 118                 14
DORTMUND            310                 102                 139                 7
RABAT               13                  108                 100                 7
MILAN               1429                573                 108                 9
SYDNEY              457                 1182                97                  11
MOSCOW              1180                178                 95                  7
TORONTO             621                 340                 145                 11
OSLO                379                 300                 95                  11
MALAGA              111                 628                 100                 5
LEIPZIG             919                 367                 122                 6
IOANNINA            435                 248                 143                 13
CAIRO               832                 723                 114                 12
BERLIN              54                  815                 138                 7
SAMOS               591                 721                 114                 7
BERN                777                 818                 95                  14
PRAGUE              1263                1038                112                 15
NICOSIA             198                 591                 138                 6
BASEL               174                 565                 101                 5
PARIS               430                 553                 109                 6
MONACO              1322                356                 131                 8
CASABLANCA          1294                1075                136                 12
PHOENIX             272                 1083                103                 11
LEEDS               113                 413                 120                 10
MALAGA              1068                358                 98                  10
PRAGUE              693                 1084                112                 10
RABAT               1233                939                 95                  7
RABAT               972                 861                 142                 6
CAIRO               1050                275                 119                 9
DORTMUND            853                 780                 100                 10
VALENCIA            749                 397                 141                 15
ZAGREB              593                 803                 126                 13
PRAGUE              735                 688                 102                 9
PRAGUE              286                 987                 118                 5
VOLOS               1339                845                 106                 12
LUXEMBURG           165                 407                 107                 15
WARSAW              414                 739                 137                 10
ICARIA              1410                261                 117                 10
BARCELONA           1212                302                 137                 9
LUXEMBURG           1158                314                 112                 13
FRANKFURT           397                 518                 137                 9
CARACAS             1102                529                 145                 14
BOSTON              270                 394                 139                 5
PRAGUE              714                 657                 114                 14
STOCKHOLM           50                  60                  145                 15
NAPOLI              485                 291                 99                  15
PATRAS              1018                151                 108                 11
LARNACA             459                 882                 100                 11
PATRAS              107                 1167                132                 8
MYTILENE            937                 785                 138                 7
OTTAWA              12                  808                 139                 11
LILLE               1397                833                 117                 7
CASABLANCA          305                 1141                105                 6
IOANNINA            123                 894                 120                 15
BRUSSELS            1265                920                 97                  11
SEVILLE             1248                291                 123                 11
BASEL               1145                524                 136                 14
SARAJEVO            521                 74                  125                 14
KOS                 132                 463                 130                 7
MALAGA              545                 852                 128                 8
ICARIA              1168                1096                101                 7
THESSALONIKI        1265                588                 103                 9
BASEL               916                 749                 103                 14
NEWCASTLE           491                 391                 112                 9
LILLE               795                 68                  134                 6
COPEGHAGEN          1302                77                  110                 8
RECIFE              910                 693                 145                 13
RABAT               595                 675                 125                 12
LEIPZIG             1192                824                 101                 8
BASEL               706                 105                 102                 13
PERTH               45                  937                 128                 11
LILLE               3                   743                 121                 13
SEVILLE             540                 804                 106                 15
JOHANNESBURG        636                 1186                128                 11
NAPOLI              877                 1093                100                 6
LONDON              820                 659                 140                 13
KAVALA              774                 664                 142                 15
RABAT               248                 487                 138                 12
MELBOURNE           435                 1038                108                 15
KEFALONIA           491                 892                 123                 14
CAIRO               721                 201                 128                 6
SYDNEY              440                 880                 115                 12
PARIS               526                 651                 128                 7
BARCELONA           266                 65                  123                 5
KAVALA              675                 251                 97                  8
LISBON              648                 436                 121                 5
KEFALONIA           90                  899                 101                 13
BELIGRADE           695                 210                 100                 12
DORTMUND            909                 382                 111                 9
DORTMUND            151                 526                 142                 11
WASHIGTON           953                 477                 133                 11
CHANIA              243                 541                 95                  8
ICARIA              977                 643                 125                 13
CASABLANCA          876                 683                 104                 11
BILBAO              253                 1096                116                 11
GLASGOW             967                 586                 122                 12
WARSAW              1400                492                 138                 7
COPEGHAGEN          848                 807                 133                 8
DOHA                544                 515                 111                 13
CAIRO               1124                925                 123                 13
BRUSSELS            509                 1013                132                 9
LEMNOS              109                 588                 142                 8
GLASGOW             1198                347                 131                 14
ALEXANDROUPOLI      444                 943                 109                 9
MYTILENE            1251                490                 109                 8
LARNACA             611                 663                 115                 14
VOLOS               270                 1143                126                 6
BUCHAREST           1075                950                 119                 12
LAGOS               402                 674                 97                  10
LISBON              669                 430                 103                 10
GENOA               1337                726                 109                 13
CHANIA              592                 1017                128                 15
MELBOURNE           827                 1058                105                 15
PERTH               809                 147                 124                 14
DUBLIN              1060                1008                136                 12
BREMEN              582                 1082                126                 11
LAGOS               346                 378                 104                 12
LIVERPOOL           545                 933                 126                 6
VIGO                172                 647                 97                  15
HERAKLION           607                 547                 135                 11
CORFU               672                 483                 136                 9
CHANIA              657                 99                  137                 9
SAMOS               474                 598                 124                 14
JERUSALEM           655                 292                 134                 15
ALEXANDRIA          1136                605                 126                 8
NAPOLI              1062                195                 144                 15
LYON                260                 1119                112                 13
CHANIA              282                 1016                113                 5
ZAGREB              729                 622                 108                 12
PATRAS              606                 1169                100                 11
GENOA               1413                865                 108                 12
KIEV                800                 317                 123                 10
VOLOS               408                 629                 144                 15
ZAGREB              820                 698                 135                 10
VOLOS               746                 199                 99                  11
CORFU               735                 460                 136                 14
PERTH               770                 358                 137                 5
KOS                 574                 166                 133                 6
OTTAWA              972                 261                 136                 14
RABAT               203                 1061                133                 13
SEVILLE             1304                92                  119                 15
ZAGREB              907                 435                 109                 11
LEIPZIG             1283                1151                135                 15
HAMBURG             973                 1065                116                 8
LILLE               33                  666                 105                 14
BARCELONA           986                 828                 127                 13
RECIFE              1110                317                 115                 14
LILLE               294                 1155                145                 13
MONTEVIDEO          755                 795                 127                 10
MONACO              134                 761                 145                 9
PARIS               1040                173                 138                 12
OTTAWA              1233                1020                145                 8
MOSCOW              1206                1024                120                 9
ATLANTA             681                 66                  118                 13
SARAJEVO            997                 729                 102                 6
BOSTON              568                 1184                117                 9
NICOSIA             465                 130                 125                 8
BUDAPEST            1324                691                 137                 5
DORTMUND            518                 758                 105                 8
FLORENCE            622                 109                 108                 15
BOLOGNA             953                 1042                135                 13
CASABLANCA          634                 533                 112                 12
FRANKFURT           677                 901                 115                 10
ALEXANDRIA          377                 427                 102                 12
KIEV                539                 93                  142                 7
CHANIA              1403                943                 122                 7
AMSTERDAM           198                 753                 129                 8
LONDON              509                 650                 131                 7
ZAGREB              559                 524                 136                 15
JERUSALEM           270                 338                 98                  5
WASHIGTON           0                   937                 100                 5
MALTA               1127                973                 140                 7
TORONTO             841                 778                 106                 7
BELIGRADE           1162                563                 145                 9
NICOSIA             1433                178                 110                 5
BARCELONA           660                 202                 118                 13
JOHANNESBURG        559                 841                 137                 5
ZANTE               321                 941                 100                 15
PERTH               4                   446                 128                 10
BUCHAREST           1288                1096                103                 9
LEEDS               1061                989                 129                 8
BIRMINGHAM          369                 310                 144                 5
NAPOLI              193                 705                 140                 14
GENOA               479                 820                 114                 14
ICARIA              1386                1151                142                 10
SOFIA               731                 156                 126                 8
ROME                349                 602                 145                 13
SARAJEVO            294                 675                 134                 12
LUXEMBURG           71                  177                 118                 6
IOANNINA            420                 400                 101                 5
BARCELONA           1283                1159                141                 12
ALEXANDRIA          1233                1100                141                 8
TORONTO             1085                1153                112                 15
CORFU               1258                720                 127                 13
CAIRO               371                 776                 134                 15
NICOSIA             414                 556                 143                 12
HAMBURG             198                 460                 113                 8
DORTMUND            706                 377                 103                 14
HAVANA              1201                453                 105                 13
GUATEMALA           1088                584                 100                 15
KALAMATA            34                  685                 131                 10
MELBOURNE           9                   128                 106                 5
BOLOGNA             1341                112                 142                 14
LIVERPOOL           83                  1041                104                 11
VOLOS               747                 722                 123                 14
HAMBURG             1015                789                 104                 15
SOFIA               1139                838                 106                 10
VOLOS               638                 73                  130                 11
DOHA                189                 79                  97                  10
HAVANA              356                 493                 132                 13
ALEXANDRIA          134                 327                 105                 14
KEFALONIA           889                 687                 122                 5
ALEXANDROUPOLI      879                 360                 116                 11
ROME                231                 110                 119                 13
MONACO              581                 1026                121                 12
OTTAWA              259                 992                 113                 11
HAMBURG             1045                560                 100                 11
LEEDS               304                 115                 109                 15
LILLE               1084                801                 142                 11
HAVANA              410                 596                 107                 8
NEWCASTLE           469                 96                  139                 12
CARACAS             312                 756                 115                 12
NEWCASTLE           59                  825                 136                 5
KIEV                130                 519                 143                 8
LAGOS               907                 826                 104                 15
NAPOLI              874                 689                 120                 8
GUATEMALA           340                 1021                116                 8
GLASGOW             175                 664                 108                 12
BANGKOK             516                 1198                108                 8
HERAKLION           873                 466                 100                 10
OSLO                1001                640                 108                 9
DOHA                1279                714                 139                 13
BOSTON              144                 989                 112                 14
NICE                34                  510                 119                 11
ATLANTA             979                 768                 100                 13
MILAN               114                 688                 127                 15
LARNACA             633                 1153                105                 14
AMSTERDAM           303                 652                 130                 12
SOFIA               978                 82                  96                  6
HAVANA              443                 913                 125                 8
WARSAW              52                  681                 139                 8
BUCHAREST           345                 220                 140                 12
SAMOS               1317                359                 101                 10
MANCHESTER          1423                357                 129                 14
FRANKFURT           605                 1199                99                  15
